id,session_id,date_time,price,quantity,product_id,customer_id
445528,10293273,2014-09-14 13:07:41.217,313.00,1,140,17689
445529,10293273,2014-09-14 13:07:41.353,941.00,1,366,17689
445530,10293273,2014-09-14 13:07:41.293,732.00,1,333,17689
445531,10293273,2014-09-14 13:07:41.230,941.00,1,398,17689
445532,10293293,2014-09-14 12:12:03.037,1360.00,1,89,15713
445533,10293293,2014-09-14 12:12:03.050,1046.00,1,455,15713
445534,10293306,2014-09-15 20:03:19.507,4711.00,1,203,5358
445535,10293379,2014-09-10 16:09:22.373,1360.00,1,593,7399
445536,10293456,2014-09-14 14:01:50.123,52255.00,1,459,16982
445537,10293459,2014-09-14 20:01:21.997,313.00,1,302,15782
445538,10293459,2014-09-14 20:01:21.983,732.00,1,387,15782
445539,10293503,2014-09-13 09:35:48.640,1046.00,1,164,17833
445540,10293506,2014-09-10 23:19:29.400,2931.00,1,302,18131
445541,10293518,2014-09-13 07:54:17.417,208.00,1,477,18364
445542,10293518,2014-09-13 07:54:16.850,941.00,1,128,18364
445543,10293518,2014-09-13 07:54:17.120,941.00,1,86,18364
445544,10293518,2014-09-13 07:54:16.470,837.00,1,372,18364
445545,10293518,2014-09-13 07:54:16.697,837.00,1,482,18364
445546,10293518,2014-09-13 07:54:17.067,1360.00,1,89,18364
445547,10293518,2014-09-13 07:54:17.413,1256.00,1,51,18364
445548,10293518,2014-09-13 07:54:17.257,1360.00,1,531,18364
445549,10293553,2014-09-14 10:02:07.807,1570.00,1,273,13164
445550,10293553,2014-09-14 10:02:07.670,732.00,1,387,13164
445551,10293558,2014-09-15 15:17:09.187,13509.00,1,185,15503
445552,10293576,2014-09-13 18:37:47.423,1360.00,1,373,18202
445553,10293576,2014-09-13 18:37:47.447,261.00,2,462,18202
445554,10293576,2014-09-13 18:37:47.427,1570.00,1,273,18202
445555,10293576,2014-09-13 18:37:47.423,2093.00,1,231,18202
445556,10293576,2014-09-13 18:37:47.423,732.00,1,387,18202
445557,10293589,2014-09-10 19:16:55.787,523.00,1,7,18392
445558,10293589,2014-09-10 19:16:55.773,837.00,3,521,18392
445559,10293612,2014-09-14 14:49:45.037,732.00,1,465,17633
445560,10293612,2014-09-14 14:49:45.033,208.00,1,269,17633
445561,10293612,2014-09-14 14:49:45.030,941.00,1,539,17633
445562,10293612,2014-09-14 14:49:45.027,1360.00,2,524,17633
445563,10293687,2014-09-15 18:19:34.373,26075.00,1,18,16139
445564,10293687,2014-09-15 18:19:34.603,1465.00,1,257,16139
445565,10293707,2014-09-12 14:38:26.987,1151.00,1,302,8932
445566,10293714,2014-09-14 16:21:15.793,1046.00,1,276,7941
445567,10293714,2014-09-14 16:02:56.353,1046.00,1,415,7941
445568,10293714,2014-09-14 16:21:15.727,1046.00,1,415,7941
445569,10293714,2014-09-14 16:02:56.420,1046.00,1,276,7941
445570,10293719,2014-09-14 07:33:22.437,837.00,1,372,14324
445571,10293719,2014-09-14 07:33:22.340,941.00,1,86,14324
445572,10293719,2014-09-14 07:33:22.660,1360.00,1,284,14324
445573,10293719,2014-09-14 07:33:22.253,837.00,1,482,14324
445574,10294303,2014-09-14 19:59:31.170,1151.00,1,200,17645
445575,10294303,2014-09-14 19:59:31.167,941.00,1,366,17645
445576,10294303,2014-09-14 19:59:31.187,1360.00,1,22,17645
445577,10294319,2014-09-12 21:12:20.173,941.00,1,385,18342
445578,10294319,2014-09-12 21:12:20.123,680.00,1,319,18342
445579,10294319,2014-09-12 21:12:20.010,1674.00,1,117,18342
445580,10294319,2014-09-12 21:12:20.173,994.00,1,283,18342
445581,10294319,2014-09-12 21:12:19.940,1779.00,1,452,18342
445582,10294319,2014-09-12 21:12:19.877,1465.00,1,17,18342
445583,10294319,2014-09-12 21:12:19.813,2303.00,1,173,18342
445584,10294364,2014-09-14 19:45:39.427,1046.00,1,245,17661
445585,10294364,2014-09-14 19:45:39.440,627.00,1,126,17661
445586,10294423,2014-09-10 09:29:54.527,4188.00,1,571,17383
445587,10294423,2014-09-10 09:29:39.510,313.00,1,368,17383
445588,10294423,2014-09-10 09:29:54.477,313.00,1,368,17383
445589,10294423,2014-09-10 09:29:54.383,5235.00,1,271,17383
445590,10294423,2014-09-10 09:29:54.317,1046.00,1,164,17383
445591,10294423,2014-09-10 09:29:39.477,5235.00,1,271,17383
445592,10294423,2014-09-10 09:29:39.560,1046.00,1,164,17383
445593,10294423,2014-09-10 09:29:39.537,4188.00,1,571,17383
445594,10294453,2014-09-14 19:26:00.087,208.00,24,350,15030
445595,10294462,2014-09-10 18:22:30.727,523.00,1,127,16148
445596,10294462,2014-09-10 18:22:30.900,627.00,1,54,16148
445597,10294462,2014-09-10 18:22:30.797,627.00,1,126,16148
445598,10294462,2014-09-10 18:22:30.647,1046.00,1,606,16148
445599,10294462,2014-09-10 18:22:31.027,8377.00,1,5,16148
445600,10294466,2014-09-14 08:05:37.747,5549.00,1,258,18191
445601,10294466,2014-09-14 08:05:37.747,1465.00,1,119,18191
445602,10294466,2014-09-14 08:05:37.733,2303.00,2,160,18191
445603,10294466,2014-09-14 08:05:37.733,1360.00,1,208,18191
445604,10294466,2014-09-14 08:05:37.743,2722.00,1,571,18191
445605,10294466,2014-09-14 08:05:37.727,1360.00,1,415,18191
445606,10294473,2014-09-13 21:58:42.217,1360.00,1,360,18242
445607,10294473,2014-09-13 21:58:42.007,1360.00,1,342,18242
445608,10294473,2014-09-13 21:58:42.153,1046.00,1,66,18242
445609,10294473,2014-09-13 21:58:42.077,1046.00,1,282,18242
445610,10294531,2014-09-15 08:00:43.387,15603.00,1,580,13164
445611,10294536,2014-09-10 20:35:43.497,627.00,2,99,14946
445612,10294536,2014-09-10 20:35:42.283,2093.00,1,542,14946
445613,10294568,2014-09-13 13:24:37.857,1674.00,1,468,17786
